Description,Offense,Actual Punishment,Section,Predicted Punishment
"Description of IPC Section 140
According to section 140 of Indian penal code, Whoever, not being a soldier, sailor or airman in the Military, Naval or Air service of the Government of India, wears any garb or carries any token resembling any garb or token used by such a soldier, sailor or airman with the intention that it may be believed that he is such a soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.


IPC 140 in Simple Words
If someone who is not a military member wears a uniform or carries something resembling a military uniform to deceive others into believing they are a soldier, sailor, or airman, they can be punished with up to three months in jail, a fine of up to five hundred rupees, or both.","Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman",3 Months or Fine or Both,IPC_140,"If anyone who does not belong to an army and uses its uniforms (including hats) as his identity badge will get imprisoned for at most one year and fined upto Rs5000/-.

Explanation:
The offence under this provision relates to wearing the clothes of soldiers, sailors & air force personnel without having their permission while on public roads etc., The person committing the act has no right over these articles so far as other people concerned are concerned but if he intends to mislead them about himself then there would be criminal liability under this law.
This offense falls within the definition given in Sec.2(1)(d)of I.P.C.. It means “any article worn” i.e anything belonging to another human being whether clothed or unclothed; including also things like badges, decorations, medals etc."
"Description of IPC Section 127
According to section 127 of Indian penal code, Whoever receives any property knowing the same to have been taken in the commission of any of the offences mentioned in sections 125 and 126, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of the property so received.


IPC 127 in Simple Words
If someone receives property knowing it was taken during the commission of certain offenses (mentioned in sections 125 and 126), they can be punished with imprisonment of up to seven years, fined, and the property can be forfeited.",Receiving property taken by war or depredation mentioned in sections 125 And 126,7 Years + Fine + forfeiture of property,IPC_127,"If someone receives property knowing that its ownership has been obtained through robbery or other crimes like thefts etc., then he/she is guilty under this law.

Explanation:
The word “knowing” means having knowledge about something before taking action on it; therefore if one does not know anything regarding an offence committed against him/her, there would be no case as per this provision. However,
if anyone knows even after committing such crime but still takes possession over them without paying compensation/penalty from those who had suffered due to his actions -he will get convicted under this Act because according to our laws we cannot take back what belongs to others unless paid off first!
Therefore always make sure whatever you do don't break anybody's rights & respect their properties!"
"Description of IPC Section 128
According to section 128 of Indian penal code, Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, voluntarily allows such prisoner to escape from any place in which such prisoner is confined, shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 128 in Simple Words
If a public servant, responsible for the custody of a State prisoner or prisoner of war, intentionally allows the prisoner to escape from confinement, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.",Public servant voluntarily allowing prisoner of State or war in his custody to escape,Imprisonment for Life or 10 Years + Fine,IPC_128,"If a person commits an offence against this provision by acting as custodian over prisoners who are held under the authority of the Government of India (i.e., those persons detained at military installations) then he/she will have committed an offense punishable under Section 129A(1)(a).
Section Number:
Part II - Code Criminal Procedure
Chapter I - Preliminary Provisions
Sub-Chapter III – Punishment
Section No.: 127"
"Description of IPC Section 129
According to section 129 of Indian penal code, Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, negligently suffers such prisoner to escape from any place of confinement in which such prisoner is confined, shall be punished with simple imprisonment for a term which may extend to three years, and shall also be liable to fine.


IPC 129 in Simple Words
If a public servant, responsible for the custody of a State prisoner or prisoner of war, carelessly allows the prisoner to escape from confinement, they can be punished with up to three years in jail and may also be fined.",Public servant negligently suffering prisoner of State or war in his custody to escape,Simple Imprisonment 3 Years + Fine,IPC_129,"Negligent conduct by an officer who has charge over prisoners in their custody leads to escaping them.

Explanation:

The court will punish this offense under section 134(1)(a) of the Penal Code as it involves culpable negligence on behalf of the accused person. The law states that if anyone commits a wrongful act against another’s property (in this case, a state prison), then he/she must compensate those affected through damages. This means that even though no physical harm was done directly due to the crime committed by someone else, there could still be financial loss incurred because of it; therefore, compensation needs to be paid out accordingly.



Example:
Suppose John steals money belonging to Jane while she's asleep at her home. In order not to get caught, he hides the stolen cash inside some books stored nearby. However, when police officers arrive looking for him later after hearing about what happened earlier today during questioning regarding other crimes committed recently involving similar items worth more than $10K each…"
"Description of IPC Section 130
According to section 130 of Indian penal code, Whoever knowingly aids or assists any State prisoner or prisoner of war in escaping from lawful custody, or rescues or attempts to rescue any such prisoner, or harbours or conceals any such prisoner who has escaped from lawful custody, or offers or attempts to offer any resistance to the recapture of such prisoner shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 130 in Simple Words
If someone knowingly helps a State prisoner or prisoner of war escape from lawful custody, rescues them, hides them after their escape, or resists their recapture, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.","Aiding escape of, rescuing or harbouring, such prisoner, or offering Any resistance to the recapture of such prisoner",Imprisonment for Life or 10 Years + Fine,IPC_130,"If you are asked about this offense by your teacher then provide information as per above given answer.

Explanation:
Section 131 deals with aiding escape of prisoners from prison.
A person is said to aid an escape if he does not prevent it but remains inactive while the other persons do so.
The offence comes under section 132 dealing with abetting suicide.
This provision was added because many cases were coming before courts where some inmates had committed suicides due to lack of care on part of jail authorities.
In these situations, people tried to save themselves at all costs even though there was no law against helping others commit suicide (as provided under sections 134-136).
These laws came into existence when prisons began operating across India during British rule.

Q1) What is meant by ""knowingly""?
Ans) Knowing means that one knows what action he/she is going to take; knowing implies awareness

Q2) How will you describe ""aided""? Give examples?

 Ans) To help another man out of his difficulties is called 'aide'. An example would be - When two men go fishing together and both catch fish except one, the first catches more than twice the amount"
"Description of IPC Section 131
According to section 131 of Indian penal code, Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India or attempts to seduce any such officer, soldier, sailor or airman from his allegiance or his duty, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 131 in Simple Words
If someone encourages the commission of mutiny by an officer, soldier, sailor, or airman in the Indian Army, Navy, or Air Force or tries to lead them astray from their loyalty or duty, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.","Abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty",Imprisonment for Life or 10 Years + Fine,IPC_131,Punishment is Life Imprisonment
"Description of IPC Section 132
According to section 132 of Indian penal code, Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall, if mutiny be committed in consequence of that abetment, be punished with death or with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 132 in Simple Words
If someone encourages the commission of mutiny by an officer, soldier, sailor, or airman in the Indian Army, Navy, or Air Force, and mutiny occurs as a result, the abettor can be punished with death, life imprisonment, or imprisonment for up to ten years, and may also be fined.","Abetment of mutiny, if mutiny is committed in consequence thereof",Death or Imprisonment for Life or 10 Years + Fine,IPC_132,"If anyone commits any offence under this Act, he shall be punished with rigorous imprisonment for a term which may extend to seven years; and shall also be liable to fine.

Explanation:- The expression ""abetting"" means counselling another person to commit such act. It does not mean assisting him after he has actually done so."
"Description of IPC Section 133
According to section 133 of Indian penal code, Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.


IPC 133 in Simple Words
If someone encourages an officer, soldier, sailor, or airman to assault a superior officer while the superior officer is performing their duties, the abettor can be punished with up to three years in jail and a fine.","Abetment of an assault by An officer, soldier, sailor Or airman on his superior officer, when in the execution of his office",3 Years + Fine,IPC_133,"Punishment Details

Explanation:
The offence under this section has been made punishable with imprisonment upto one year or with fine or both.

• The maximum penalty that can be awarded is imprisonment for not more than five years (Section 124A)"
"Description of IPC Section 134
According to section 134 of Indian penal code, Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, shall, if such assault be committed in consequence of that abetment be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 134 in Simple Words
If someone encourages an officer, soldier, sailor, or airman to assault a superior officer while the superior officer is performing their duties, and the assault occurs as a result, the abettor can be punished with up to seven years in jail and a fine.","Abetment of such assault, if the assault is committed",7 Years + Fine,IPC_134,"If anyone abets another person's crime (assault) they will receive at least one year behind bars and/or pay fines.

Section Number:
Indian Penal Code

Chapter Title:

Crimes Against Public Servant"
"Description of IPC Section 135
According to section 135 of Indian penal code, Whoever, abets the desertion of any officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 135 in Simple Words
If someone encourages or supports the desertion of an officer, soldier, sailor, or airman from the Indian Army, Navy, or Air Force, they can be punished with up to two years in jail, a fine, or both.","Abetment of the desertion of an officer, soldier, sailor or airman",2 Years or Fine or Both,IPC_135,"If someone encourages or supports the desertion of an officer, soldier, sailor, or airman from the Indian Army, Navy, or Air Force, they can be punished with up to two years in jail, a fine, or both.

Example:
A person encouraged another person to leave their job and join a rival organization. The second person left his/her job without informing anyone about it and started working as part of that group. Both these actions are punishable under this law because one is encouraging others to break rules while the other was breaking them himself/herself.



Explanation:

• This offence includes supporting the deserter's action by words (e.g., “You're free! Go!”) or conduct (such as providing shelter).
• It does not include mere encouragement when there has been no actual attempt at desertion made against the victim.
• In some cases, even if you did encourage your friend/deserter to go on strike, but he/she didn't actually follow through on those plans – then still technically violating this provision!
1. A man went away from home after having committed thefts; he came back again & took advantage of the opportunity given him by the police station where his brother worked. He got arrested immediately upon reaching the spot. Is such act covered under IPC Sec.-135?
2. Can we say that ""abetting"" means giving support/supporting/encouraging"
